,Diagram 0,Diagram 1,Diagram 2,Diagram 3,Diagram 4,Diagram 5,Diagram 6,Diagram 7,Diagram 8,Diagram 9,Diagram 10,Diagram 11,Diagram 12,Diagram 13,Diagram 14,Diagram 15,Diagram 16,Diagram 17,Diagram 18,Diagram 19,Diagram 20,Diagram 21,Diagram 22,Diagram 23,Diagram 24,Diagram 25,Diagram 26,Diagram 27,Diagram 28,Diagram 29,Diagram 30,Diagram 31,Diagram 32,Diagram 33,Diagram 34,Diagram 35,Diagram 36,Diagram 37,Diagram 38,Diagram 39,Diagram 40,Diagram 41,Diagram 42,Diagram 43,Diagram 44,Diagram 45,Diagram 46,Diagram 47,Diagram 48,Diagram 49,Diagram 50,Diagram 51,Diagram 52,Diagram 53,Diagram 54,Diagram 55,Diagram 56,Diagram 57,Diagram 58,Diagram 59,Diagram 60,Diagram 61,Diagram 62,Diagram 63,Diagram 64,Diagram 65,Diagram 66,Diagram 67,Diagram 68,Diagram 69,Diagram 70,Diagram 71,Diagram 72,Diagram 73,Diagram 74,Diagram 75,Diagram 76,Diagram 77,Diagram 78,Diagram 79,Diagram 80,Diagram 81,Diagram 82,Diagram 83,Diagram 84,Diagram 85,Diagram 86,Diagram 87
Diagram 0,0.0,9.100947979858343e-13,1.7912396568782848e-12,2.670311453579082e-13,7.615974236398089e-13,6.435940713278073e-12,5.135270289454746e-13,5.5313746988175866e-11,6.2323262023669274e-12,1.0235830205415279e-12,6.407185238910708e-11,1.5510571723445398e-10,2.830808330306508e-12,2.138520390592124e-11,2.9462181417585436e-12,2.6155849873452655e-11,1.2079152568371773e-12,3.3215981690769155e-12,1.2643261891150523e-12,1.8553085156848204e-13,6.622761246175555e-13,3.761258644240676e-12,3.6799556890043e-11,1.0113919864438119e-12,1.6825879365377757e-12,7.664213587637132e-13,5.9033405660709105e-12,4.0822196452993654e-13,1.4370698502771957e-11,5.2801512106716815e-11,7.876134451152456e-12,2.516175545286672e-10,1.5200693994525135e-12,3.221183430733791e-11,4.809215734324532e-13,5.995193284395586e-12,1.797794338603021e-12,5.027044898023081e-12,1.294176774877659e-11,5.4675784947725234e-12,3.681085682940074e-12,5.709505573054494e-12,1.3110971409134241e-11,1.0427837186647454e-11,1.8625212724631177e-11,1.0258432687279764e-11,1.3288765856052817e-11,2.1319522271043602e-11,1.494345127052072e-11,3.446207903001466e-12,4.451759650999391e-12,1.0279218332663264e-11,5.1598524492573016e-11,2.283273578538981e-11,4.0503739784768155e-12,2.880792564799054e-10,3.399720103477996e-12,2.604580464294023e-12,7.181579504701635e-13,2.5586206873866884e-13,6.0737952097219e-12,2.5029180637725868e-12,3.2549029356571214e-12,2.0385219791662747e-11,2.227148317337635e-12,1.0428047643576212e-12,2.0910733053824103e-12,1.3634982427512852e-12,1.9149533008229182e-12,2.2076220356505544e-13,2.6112996753165155e-12,5.014629851428568e-13,9.521680241104662e-13,3.0168485661646284e-11,3.0896390837566545e-11,5.5058740657070155e-11,1.302443953730746e-13,2.1624074755510553e-13,1.924929706698857e-11,5.9001067340294225e-12,3.703357418615054e-13,1.4582355019903634e-12,3.03792269696587e-13,3.254634713267988e-13,1.4873271948798733e-11,7.0960182478779785e-12,1.8805939128747015e-12,6.2433459011879866e-12
Diagram 1,9.100947979858343e-13,0.0,8.811448588924507e-13,1.020937273045067e-12,1.9268166528057797e-13,5.525845915292239e-12,4.445147864555214e-13,5.4403652190190035e-11,5.322231404381094e-12,9.068030027105533e-13,6.316175759112125e-11,1.5419562243646815e-10,1.920713532320674e-12,2.047510910793541e-11,2.0837733391324583e-12,2.5245755075466817e-11,3.2066445405721843e-13,2.411503371091081e-12,5.923539690871979e-13,7.738721733213755e-13,2.5848689457881227e-13,2.851163846254842e-12,3.588946209205716e-11,2.0119367254716644e-13,8.553834454635841e-13,4.1588431083802927e-13,4.993245768085076e-12,5.018728334558978e-13,1.3460603704786123e-11,5.1891417308730984e-11,6.966039653166623e-12,2.5070745973068143e-10,6.440491100722214e-13,3.2265082540063753e-11,4.767774438965578e-13,5.085098486409751e-12,8.876995406171868e-13,4.116950100037247e-12,1.2031672950790756e-11,4.55748369678669e-12,2.821235199283098e-12,4.79941077506866e-12,1.2200876611148405e-11,9.517742388661618e-12,1.7715117926645343e-11,9.348337889293928e-12,1.2378671058066982e-11,2.0409427473057764e-11,1.4059211098042637e-11,2.536113105015632e-12,3.541664853013557e-12,9.36912353467743e-12,5.0688429694587185e-11,2.194647421727725e-11,3.1402791804909816e-12,2.871691616819196e-10,2.5873685560152292e-12,1.6944856663081886e-12,2.0081802710598154e-13,6.778612256489902e-13,5.274435287883662e-12,1.5928232657867522e-12,2.4451964616001213e-12,1.947512499367691e-11,1.9899466725432547e-12,2.619977409692974e-13,1.207311303703271e-12,5.696968909643123e-13,1.0048585028370847e-12,7.182102610696865e-13,1.7012048773306814e-12,4.325080271932845e-13,4.572230588080152e-13,2.9258390863660446e-11,2.998629603958071e-11,5.414864585908432e-11,8.707015262448109e-13,7.932543814658162e-13,1.8339202269002738e-11,4.990011936043588e-12,5.951077647332367e-13,6.058253599607445e-13,1.171063992181425e-12,7.238298152317277e-13,1.4037707960606789e-11,6.185923449892143e-12,1.8061510777854533e-12,5.333251103202151e-12
Diagram 2,1.7912396568782848e-12,8.811448588924507e-13,0.0,1.9020821319375173e-12,1.029642233238476e-12,4.813890938804661e-12,1.317705866152383e-12,5.3522507331297583e-11,4.441086545488643e-12,1.339729754845796e-12,6.22806127322288e-11,1.533144775775757e-10,1.4459699756743803e-12,1.9593964249042958e-11,2.1069718738842094e-12,2.436461021657437e-11,6.529152988194232e-13,1.53035851219863e-12,9.90642454811698e-13,1.6550170322138262e-12,1.1289635322607296e-12,2.2968480710679177e-12,3.500831723316471e-11,7.79847670434473e-13,1.1009998232859852e-12,1.0703965628854363e-12,4.112100909192625e-12,1.3830176923483483e-12,1.2579458845893671e-11,5.101027244983853e-11,6.0848947942741725e-12,2.49826314871789e-10,7.61192997113679e-13,3.3044766981393265e-11,1.3103180834458316e-12,4.2039536275173006e-12,2.2812438288315073e-13,3.359319842038977e-12,1.1150528091898305e-11,3.6763388378942394e-12,2.495535363201753e-12,3.9590355173841375e-12,1.1319731752255955e-11,8.636597529769166e-12,1.683397306775289e-11,8.467193030401481e-12,1.1497526199174531e-11,1.9528282614165313e-11,1.3464666241160971e-11,1.899146589219745e-12,2.660519994121106e-12,8.487978675784978e-12,4.998798066497454e-11,2.117262134003986e-11,2.3938991943826666e-12,2.862880168230272e-10,2.382492446560926e-12,1.0221116105971632e-12,1.0730817064081214e-12,1.559006084541441e-12,5.238297029725433e-12,1.0170066893774349e-12,2.522118896116802e-12,1.8593980134784458e-11,2.4205369622128298e-12,7.484348925206641e-13,1.0794266890177424e-12,6.473049026476759e-13,2.4801027417027037e-13,1.5993551199621368e-12,1.1359854799595186e-12,1.306304883328901e-12,1.0611958039769975e-12,2.8377246004767998e-11,2.9105151180688256e-11,5.327517102252072e-11,1.7518463851372618e-12,1.6743992403582668e-12,1.7458057410110286e-11,4.204079632193724e-12,1.4226950807682854e-12,9.004817303078159e-13,2.052208851073876e-12,1.6049746741241781e-12,1.434709818696203e-11,5.405692193571933e-12,2.1303756703670486e-12,4.5310643642036895e-12
Diagram 3,2.670311453579082e-13,1.020937273045067e-12,1.9020821319375173e-12,0.0,8.724398986990414e-13,6.546783188337306e-12,5.843762657851344e-13,5.542458946323509e-11,6.34316867742616e-12,1.14574578742691e-12,6.418269486416631e-11,1.552165597095132e-10,2.9416508053657406e-12,2.1496046380980477e-11,3.0570606168177764e-12,2.6266692348511885e-11,1.31875773189641e-12,3.432440644136148e-12,1.3764150583837375e-12,2.702568524817036e-13,7.73118599676788e-13,3.872101119299909e-12,3.6910399365102235e-11,1.1222344615030443e-12,1.7934304115970082e-12,8.8242805470203e-13,6.014183041130142e-12,5.235328419363313e-13,1.448154097783119e-11,5.291235458177605e-11,7.986976926211689e-12,2.517283970037265e-10,1.630911874511746e-12,3.2322676782397156e-11,6.026141933269842e-13,6.106035759454818e-12,1.908636813662254e-12,5.137887373082314e-12,1.3052610223835824e-11,5.578420969831756e-12,3.791928157999306e-12,5.820348048113727e-12,1.3221813884193473e-11,1.0538679661706684e-11,1.873605519969041e-11,1.0369275162338995e-11,1.339960833111205e-11,2.1430364746102832e-11,1.5064578542195027e-11,3.5570503780606986e-12,4.562602126058623e-12,1.0390060807722497e-11,5.170936696763225e-11,2.295449177004365e-11,4.161216453536047e-12,2.8819009895496467e-10,3.510562578537229e-12,2.7154229393532556e-12,8.310248481049761e-13,3.4307604739607656e-13,6.184637684781133e-12,2.6137605388318196e-12,3.365745410716354e-12,2.0496062266721977e-11,2.375120977967616e-12,1.1536472394168536e-12,2.2019157804416428e-12,1.4820911894554078e-12,2.025795775882151e-12,3.0945862729626796e-13,2.7221421503757476e-12,5.957772486086165e-13,1.0788910201873294e-12,3.0279328136705514e-11,3.100723331262578e-11,5.5169583132129385e-11,2.1002089328490827e-13,2.3234177075308976e-13,1.9360139542047805e-11,6.010949209088654e-12,4.793870511692321e-13,1.5690779770495963e-12,1.5012671913635818e-13,2.9710745781333923e-13,1.4984114423857966e-11,7.20686072293721e-12,2.0909313698910476e-12,6.354188376247218e-12
Diagram 4,7.615974236398089e-13,1.9268166528057797e-13,1.029642233238476e-12,8.724398986990414e-13,0.0,5.689673227724951e-12,2.88063632913907e-13,5.455214956453606e-11,5.470728778727119e-12,9.47614044194179e-13,6.331025496546727e-11,1.5434411981081416e-10,2.0692109066666992e-12,2.0623606482281436e-11,2.2549719004736178e-12,2.5394252449812844e-11,4.804498284468368e-13,2.560000745437106e-12,7.172197611777126e-13,6.253747989753501e-13,2.000709427911253e-13,2.9996612206008674e-12,3.603795946640319e-11,3.217524807696004e-13,9.572299538965828e-13,4.2262340737240333e-13,5.141743142431101e-12,3.5337545910987237e-13,1.3609101079132146e-11,5.203991468307701e-11,7.114537027512649e-12,2.508559571050274e-10,7.830342281815517e-13,3.2169250216457357e-11,3.7871068828087546e-13,5.233595860755776e-12,1.036196914963212e-12,4.265447474383272e-12,1.2180170325136781e-11,4.705981071132716e-12,2.9967787128251924e-12,4.947908149414685e-12,1.234937398549443e-11,9.666239763007643e-12,1.786361530099137e-11,9.496835263639954e-12,1.2527168432413006e-11,2.055792484740379e-11,1.4239211751185975e-11,2.684610479361657e-12,3.690162227359582e-12,9.517620909023455e-12,5.085597569343782e-11,2.212372431209197e-11,3.2887765548370066e-12,2.873176590562656e-10,2.7118599621385076e-12,1.8605337886766868e-12,1.373866045998057e-13,5.293638513029648e-13,5.435218850977923e-12,1.7413206401327776e-12,2.537557107025742e-12,1.962362236802293e-11,1.97886457429791e-12,3.0103019942070275e-13,1.3620992727945125e-12,7.045257010732649e-13,1.1533558771831099e-12,5.697128867236609e-13,1.8497022516767066e-12,2.76662650090425e-13,4.47053615723354e-13,2.940688823800647e-11,3.0134793413926734e-11,5.4297143233430344e-11,7.604679563792346e-13,6.447570071197908e-13,1.8487699643348764e-11,5.138509310389613e-12,5.450520608884116e-13,7.496346966644483e-13,1.0225666178353996e-12,5.753324408857022e-13,1.4111674525158925e-11,6.334420824238169e-12,1.8570616571527187e-12,5.481748477548177e-12
Diagram 5,6.435940713278073e-12,5.525845915292239e-12,4.813890938804661e-12,6.546783188337306e-12,5.689673227724951e-12,0.0,5.962406922552171e-12,4.887780627489779e-11,1.0062341292445935e-12,5.422067292292057e-12,5.7635911675828984e-11,1.4866977652117591e-10,3.723924946864619e-12,1.6309637775109593e-11,3.489722571519529e-12,2.341530184212041e-11,5.230360813211361e-12,3.5314988950441677e-12,5.1716145241630215e-12,6.299718088613614e-12,5.7736645886605175e-12,5.0934239193183365e-12,3.036361617676492e-11,5.4245487268342605e-12,4.76174074978224e-12,5.6695193545143595e-12,4.827979450251955e-12,6.027718748748137e-12,8.850610835396769e-12,5.23979654030288e-11,3.1875453300171523e-12,2.4518161381538915e-10,4.92077187906209e-12,3.6044024976045854e-11,5.95501913984562e-12,1.7707076216447616e-12,4.81181032736925e-12,1.84213179348132e-12,6.505827035498519e-12,1.9230807223916224e-12,2.8534103637208894e-12,1.2240201744386666e-12,6.747030916774256e-12,3.991896473369383e-12,1.8114389628144804e-11,3.8485745049258704e-12,8.279981820739346e-12,1.4883581557765522e-11,1.0192688169173457e-11,3.0151598037478824e-12,2.179596607815425e-12,3.881402454278272e-12,4.706595615589731e-11,1.6434051084367014e-11,2.434072531067222e-12,2.816433157666273e-10,3.5319015953460497e-12,3.83136024898405e-12,5.71778276280791e-12,6.20370714094123e-12,4.656994580505458e-12,4.001454804104514e-12,3.193146503416455e-12,1.394927907838467e-11,4.208792395940437e-12,5.426418668242979e-12,4.344867407895662e-12,5.072442470526787e-12,4.663424314634067e-12,6.244056176361926e-12,3.846015737316831e-12,5.9510059397286885e-12,5.483772689167606e-12,2.3732544948368208e-11,2.4460450124288466e-11,4.9860076525014386e-11,6.39654744153705e-12,6.319100296758054e-12,1.2813356353710499e-11,1.9226680747486296e-12,6.067396137168074e-12,4.9777052112877085e-12,6.696909907473664e-12,6.249675730523966e-12,1.58104621149982e-11,2.409806483391991e-12,4.6511170792026236e-12,2.4749867706810722e-12
Diagram 6,5.135270289454746e-13,4.445147864555214e-13,1.317705866152383e-12,5.843762657851344e-13,2.88063632913907e-13,5.962406922552171e-12,0.0,5.484021319744996e-11,5.7587924116410256e-12,9.934864269432872e-13,6.359831859838118e-11,1.5463218344372808e-10,2.3572745395806063e-12,2.091167011519534e-11,2.497297015493368e-12,2.568231608272675e-11,7.343814661112756e-13,2.848064378351013e-12,9.061107597329671e-13,3.373111660614433e-13,2.9738166470455366e-13,3.2877248535147745e-12,3.632602309931709e-11,5.551230245772339e-13,1.2090541458118738e-12,4.981041946153027e-13,5.429806775345009e-12,1.5023860833333147e-13,1.3897164712046054e-11,5.2327978315990915e-11,7.402600660426555e-12,2.511440207379414e-10,1.0465356087266117e-12,3.203436575570547e-11,3.4397419247227454e-13,5.5216594936696835e-12,1.3242605478771189e-12,4.553511107297179e-12,1.2468233958050689e-11,4.9940447040466216e-12,3.2371459485244296e-12,5.235971782328592e-12,1.2637437618408338e-11,9.95430339592155e-12,1.8151678933905274e-11,9.784898896553862e-12,1.2815232065326913e-11,2.0845988480317698e-11,1.4501075775884148e-11,2.9726741122755643e-12,3.978225860273489e-12,9.805684541937362e-12,5.1124990701847116e-11,2.239098900373277e-11,3.576840187750914e-12,2.876057226891795e-10,2.945938936638269e-12,2.1310466735681213e-12,2.835717881394482e-13,3.0444287618100334e-13,5.673949405188958e-12,2.0293842730466845e-12,2.7813691449312196e-12,1.991168600093684e-11,2.0697783729036892e-12,5.692709736317191e-13,1.6175395146565082e-12,9.20131410583164e-13,1.4414195100970167e-12,3.3484542017955865e-13,2.1377658845906137e-12,7.128794035237605e-14,6.064587305155986e-13,2.9694951870920383e-11,3.0422857046840645e-11,5.458520686634425e-11,5.420573958557207e-13,3.5669337420588384e-13,1.877576327626267e-11,5.426572943303521e-12,3.9806401076081895e-13,1.0018772481570499e-12,7.345029849214926e-13,2.8726880797179524e-13,1.4399738158072833e-11,6.622484457152077e-12,1.925232674645471e-12,5.769812110462083e-12
Diagram 7,5.5313746988175866e-11,5.4403652190190035e-11,5.3522507331297583e-11,5.542458946323509e-11,5.455214956453606e-11,4.887780627489779e-11,5.484021319744996e-11,0.0,4.9081420785808934e-11,5.4299873567189856e-11,3.071607309700925e-11,9.979197024627811e-11,5.2482938657869355e-11,3.392854308225462e-11,5.236752884641732e-11,3.9270433575446696e-11,5.410583173133869e-11,5.199214881909895e-11,5.4049420799060806e-11,5.5177524363511405e-11,5.4651470863558305e-11,5.155248834393519e-11,2.8052300345646452e-11,5.4302355001732056e-11,5.363115905163809e-11,5.454732562941215e-11,4.941040642210495e-11,5.490552502364593e-11,4.094304848540391e-11,7.130060748193335e-11,4.7437612537023404e-11,2.0102291671176927e-10,5.379367758872335e-11,5.517179728167217e-11,5.4832825414743404e-11,4.931855370378028e-11,5.351595264957284e-11,5.0286702090152784e-11,4.237197923939927e-11,4.984616849340334e-11,5.163266130523579e-11,4.9604241415121367e-11,4.220277557904162e-11,4.488590980152841e-11,3.6996521231150055e-11,4.50553143008961e-11,4.2024981132123046e-11,3.399422471713227e-11,4.0381904903101066e-11,5.186753908517439e-11,5.086198733717647e-11,4.50345286555126e-11,6.614631563256533e-11,3.275442586101736e-11,5.126337300969905e-11,2.330318911104597e-10,5.191402688469787e-11,5.2709166523881847e-11,5.45955890377057e-11,5.5081513415839016e-11,4.923995177845396e-11,5.281082892440328e-11,5.205884405251875e-11,3.6039434629968646e-11,5.3086598670838225e-11,5.427094222381824e-11,5.3222673682793455e-11,5.3950248745424575e-11,5.339879368735295e-11,5.512186245125972e-11,5.270244731285934e-11,5.482881221462648e-11,5.436157896406541e-11,3.1691590068504684e-11,2.592337542534684e-11,6.301992487403365e-11,5.527435371643484e-11,5.519690657165584e-11,3.606444992118729e-11,4.941364025414644e-11,5.494520241206586e-11,5.3855511486185495e-11,5.557471618237145e-11,5.512748200542176e-11,4.5506866702974616e-11,4.821772874029789e-11,5.3479477672076694e-11,4.9070401086987874e-11
Diagram 8,6.2323262023669274e-12,5.322231404381094e-12,4.441086545488643e-12,6.34316867742616e-12,5.470728778727119e-12,1.0062341292445935e-12,5.7587924116410256e-12,4.9081420785808934e-11,0.0,5.218452781380911e-12,5.7839526186740135e-11,1.4887339103208706e-10,3.825782989460712e-12,1.6239558228041876e-11,3.286108060608385e-12,2.3715988483033286e-11,5.0244109455297505e-12,3.0313842412932338e-12,4.968000013251875e-12,6.096103577702469e-12,5.570050077749373e-12,5.2063523325916505e-12,3.056723068767607e-11,5.220934215923116e-12,4.5497382658291525e-12,5.465904843603215e-12,4.798145586053586e-12,5.8241042378369915e-12,8.82662305408853e-12,5.241493689019984e-11,2.7178413239049696e-12,2.4538522832630034e-10,4.712256802914414e-12,3.6286126689938655e-11,5.751404628934474e-12,1.2648201468357203e-12,4.4345318637639065e-12,2.113599163610283e-12,6.709441546409664e-12,2.0691844467512498e-12,2.551240519426855e-12,1.538131699405417e-12,6.87864520676731e-12,4.198229498567229e-12,1.8110850639416555e-11,4.060808445360571e-12,8.544286513342597e-12,1.5087196068676667e-11,1.054726543062943e-11,2.786118299365462e-12,1.825392091921733e-12,4.046892130296336e-12,4.7478278672948866e-11,1.674298492328033e-11,2.3971580229019205e-12,2.8184693027753857e-10,3.956318547970297e-12,3.6277457380729055e-12,5.5141682518967634e-12,6.000092630030083e-12,5.302833652651838e-12,3.7294081385943415e-12,3.531997993165126e-12,1.4152893589295813e-11,4.005177885029294e-12,5.1895214380093065e-12,4.141252896984518e-12,4.868827959615643e-12,4.317372901544009e-12,6.04044166545078e-12,3.621026527050413e-12,5.747391428817544e-12,5.2801581782564616e-12,2.3936159459279352e-11,2.4664064635199614e-11,5.0148556434624135e-11,6.192932930625905e-12,6.11548578584691e-12,1.3016970864621644e-11,2.2986467552841653e-12,5.8637816262569284e-12,4.774090700376564e-12,6.493295396562518e-12,6.046061219612821e-12,1.6193643126406546e-11,2.8253148287350292e-12,4.8932187930954254e-12,2.917809681542587e-12
Diagram 9,1.0235830205415279e-12,9.068030027105533e-13,1.339729754845796e-12,1.14574578742691e-12,9.47614044194179e-13,5.422067292292057e-12,9.934864269432872e-13,5.4299873567189856e-11,5.218452781380911e-12,0.0,6.305797896812107e-11,1.5409184381346794e-10,1.816934909320491e-12,2.0371330484935227e-11,1.9323447207725268e-12,2.5141976452466635e-11,8.813117630901912e-13,2.500023639679687e-12,6.243410061557752e-13,9.108661922724593e-13,7.621695101961368e-13,2.7874431900820147e-12,3.5785683469056976e-11,8.903925787640126e-13,7.384311880506445e-13,5.259336027111846e-13,4.8894671450848925e-12,8.935104247794356e-13,1.335682508178594e-11,5.17876386857308e-11,6.862261030166441e-12,2.5060368110768133e-10,7.397034050745039e-13,3.2074288333346264e-11,6.624804082698983e-13,4.981319863409568e-12,1.1579825236515901e-12,4.013171477037064e-12,1.1927894327790574e-11,4.453705073786508e-12,2.667212261954057e-12,4.695632152068478e-12,1.2097097988148223e-11,9.413963765661436e-12,1.761133930364516e-11,9.244559266293746e-12,1.22748924350668e-11,2.0305648850057582e-11,1.39295778495347e-11,2.432334482015449e-12,3.437886230013375e-12,9.265344911677246e-12,5.0584651071587e-11,2.1818862364403792e-11,3.0365005574907987e-12,2.870653830589194e-10,2.3858466824919793e-12,1.7044323394561906e-12,8.944657432173679e-13,9.239534914257684e-13,5.059921788735883e-12,1.4890446427865696e-12,2.2410295146711047e-12,1.937134637067673e-11,1.3070230455375912e-12,1.11989051082265e-12,1.2776096890117882e-12,7.540320780566052e-13,1.3547769727955236e-12,9.152879407646741e-13,1.6862377077300424e-12,9.886658404545858e-13,5.52461378216986e-13,2.915461224066026e-11,2.988251741658053e-11,5.404486723608413e-11,9.76863901768369e-13,9.489147065786988e-13,1.8235423646002552e-11,4.8862333130434045e-12,7.913638452079812e-13,7.035576013872619e-13,1.2748426151816074e-12,1.0100825295684393e-12,1.3956975703908071e-11,6.082144826891961e-12,9.697570139556616e-13,5.2294724802019686e-12
